fuente,destino,peso
Actuar,Liderazgo en Salud,0.680
Actuar,Pensamiento Crítico,0.650
Actuar,Comunicación,0.680
Actuar,Trabajo en Equipo,0.720
Actuar,Innovación y Tecnología,0.640
Actuar,Gestión de Calidad en Salud,0.660
Actuar,Ética y Profesionalismo,0.640
Actuar,Aprendizaje Continuo,0.660
Actuar,Resiliencia y Bienestar,0.640
Actuar,Sentido de Trascendencia,0.620
Actuar,Medición y Análisis de Datos,0.600
Actuar,Salud Pública y APS,0.650
Actuar,Digitalización e IA,0.580
Actuar,Contender con la Complejidad,0.580
Actuar,Infraorganísmico,0.500
Actuar,Organísmico,0.650
Actuar,Supraorganísmico,0.800
Actuar,Planear,0.800
Actuar,Hacer,0.850
Actuar,Verificar,0.900
